Name,Party,Votes,Constituency,Region
LAIRUMBE John Emanuel Kivuyo,ACT-Wazalendo,2492,Arumeru Magharibi,Arusha
NOAH Lemburis Saputu Mollel,CCM,72160,Arumeru Magharibi,Arusha
OLE MEISEYEKI Gibson Blasius,CHADEMA,22743,Arumeru Magharibi,Arusha
ARAFA Mohamedy Muya,CUF,329,Arumeru Magharibi,Arusha
Mch. LAIZER Loilole Wilson,NCCR-Mageuzi,323,Arumeru Magharibi,Arusha
TUMAINI Andrea Akyoo,UPDP,169,Arumeru Magharibi,Arusha
Dkt. PALLANGYO John Danielson,CCM,84858,Arumeru Mashariki,Arusha
REBECCA Michael Mngodo,CHADEMA,14688,Arumeru Mashariki,Arusha
HUSNA Tomasi Kundi,AAFP,831,Arusha Mjini,Arusha
ZUBERI Mwinyi Hamisi,ADA-TADEA,249,Arusha Mjini,Arusha
MATHAYO Richard Membi,CCK,245,Arusha Mjini,Arusha
GAMBO Mrisho Mashaka,CCM,82480,Arusha Mjini,Arusha
LEMA Godbless Jonathan,CHADEMA,46489,Arusha Mjini,Arusha
MAGDALENA Loonjumuya Shangay,CUF,177,Arusha Mjini,Arusha
ELIZABETH Geofrey Sembuche,DP,33,Arusha Mjini,Arusha
MKAMA Rashid Jaralya,N.R. A,57,Arusha Mjini,Arusha
HEFSIBA Reward Kiwelu,NCCR-Mageuzi,77,Arusha Mjini,Arusha
SIMON Johnson Bayo,SAU,88,Arusha Mjini,Arusha
ALFRED Nicolas Mollel,UDP,66,Arusha Mjini,Arusha
HAPPY Eliasi Sumari,UPDP,80,Arusha Mjini,Arusha
PANGA Constantine Kanso,ACT-Wazalendo,803,Karatu,Arusha
AWACK Daniel Tlemai,CCM,49042,Karatu,Arusha
CECILIA Daniel Paresso,CHADEMA,31150,Karatu,Arusha
EMMANUEL Patrick Qaymo,CHAUMMA,424,Karatu,Arusha
JOSEPH Jacob Paulo,NCCR-Mageuzi,127,Karatu,Arusha
JOSEPH Cresent Balde,NLD,140,Karatu,Arusha
KIRUSWA Steven Lemomo,CCM,61885,Longido,Arusha
PAULINA Lukas Laizer,CHADEMA,1037,Longido,Arusha
MKADAM Kombo Mkadam,CUF,65,Longido,Arusha
FERUZIY Juma Feruziyson,N.R. A,21,Longido,Arusha
MWAHIJA Khalfan Chogga,ACT-Wazalendo,485,Monduli,Arusha
FREDRICK Edward Lowassa,CCM,72502,Monduli,Arusha
CECILIAN Samson Ndossi,CHADEMA,4637,Monduli,Arusha
ADAM Mohamed Kijuu,N.R. A,145,Monduli,Arusha
SUPEET K. Olepuruko,ACT-Wazalendo,1080,Ngorongoro,Arusha
WILLIAM Tate Olenasha,CCM,63536,Ngorongoro,Arusha
JACQUELINE Aisaa Swai,CHADEMA,7983,Ngorongoro,Arusha
KILASA Mohamedi Mogwa,AAFP,216,Ilala,Dar Es Salaam
HUSSEIN Juma Abdallah,ACT-Wazalendo,1487,Ilala,Dar Es Salaam
ASIA Hamimu Hokororo,ADA-TADEA,66,Ilala,Dar Es Salaam
MAINISHO Athumani Itesi,CCK,153,Ilala,Dar Es Salaam
ZUNGU Azzan Mussa,CCM,26496,Ilala,Dar Es Salaam
HASHIM Juma Issak,CHADEMA,6534,Ilala,Dar Es Salaam
ABDALLAH Ally Kabara,CHAUMMA,110,Ilala,Dar Es Salaam
RASHIDI Mwinshehe Mzange,CUF,466,Ilala,Dar Es Salaam
SELEMANI Musa Mpeneka,DEMOKRASIA MAKINI,29,Ilala,Dar Es Salaam
CLINTON Nicolas Jovin,NCCR-Mageuzi,110,Ilala,Dar Es Salaam
AMINA Athumani Ahungu,SAU,47,Ilala,Dar Es Salaam
SAMWEL Gipson Kissanga,UDP,14,Ilala,Dar Es Salaam
LEILA Hamad Salehe,UMD,43,Ilala,Dar Es Salaam
AMINA Amiri Mcheka,AAFP,374,Kawe,Dar Es Salaam
GODBLESS Andrew Msofe,ACT-Wazalendo,585,Kawe,Dar Es Salaam
HASSAN Shabani Mvungi,ADC,532,Kawe,Dar Es Salaam
BEATRICE Chiduo Fundi,CCK,1422,Kawe,Dar Es Salaam
ASKOFU JOSEPHAT Mathias Gwajima,CCM,194833,Kawe,Dar Es Salaam
MDEE Halima James,CHADEMA,32524,Kawe,Dar Es Salaam
HAMADY Ramadhani Namungu,CHAUMMA,426,Kawe,Dar Es Salaam
SALIMIN Suleiman Kisamo,CUF,461,Kawe,Dar Es Salaam
JACKSON Jeremia Liwola,DEMOKRASIA MAKINI,39,Kawe,Dar Es Salaam
ZUBERI Said Madunda,DP,60,Kawe,Dar Es Salaam
MARTHA Raphael Chiomba,NCCR-Mageuzi,279,Kawe,Dar Es Salaam
MWANKINA Emmanuel Mosses,NLD,43,Kawe,Dar Es Salaam
MARIA Alfred Kakili,SAU,53,Kawe,Dar Es Salaam
AMANDUS Joseph Komba,TLP,67,Kawe,Dar Es Salaam
ALFRED Joram Ernest,UDP,44,Kawe,Dar Es Salaam
GRACE Mwangi Almas,UMD,51,Kawe,Dar Es Salaam
MARY Moses Daudi,UPDP,72,Kawe,Dar Es Salaam
MWESIGWA Zaidi Siraji,ACT-Wazalendo,842,Kibamba,Dar Es Salaam
ABASI Bushiri Diwani,ADA-TADEA,158,Kibamba,Dar Es Salaam
SIRIWA Innocent Gabriel,ADC,165,Kibamba,Dar Es Salaam
MABRUKI Naomi William,CCK,268,Kibamba,Dar Es Salaam
MTEMVU Issa Jumanne,CCM,54496,Kibamba,Dar Es Salaam
MGAWE Ernest Stanley,CHADEMA,19744,Kibamba,Dar Es Salaam
MARY Osward Mpangala,CHAUMMA,183,Kibamba,Dar Es Salaam
HILDA Amon Mria,CUF,173,Kibamba,Dar Es Salaam
NEEMA Balama George,N.R. A,19,Kibamba,Dar Es Salaam
EVELYN Wilbard Munisi,NCCR-Mageuzi,141,Kibamba,Dar Es Salaam
LEAH Revington Minja,NLD,11,Kibamba,Dar Es Salaam
KUNJE Ngombale Mwiru,SAU,28,Kibamba,Dar Es Salaam
AIVAN Jackson Maganza,TLP,37,Kibamba,Dar Es Salaam
MADIRISHA Mbaga Pauline,UDP,19,Kibamba,Dar Es Salaam
AMINA Hassan Mumba,UMD,60,Kibamba,Dar Es Salaam
BEATRICE Omar Muya,UPDP,77,Kibamba,Dar Es Salaam
SAIDI Ally Kilindo,AAFP,512,Kigamboni,Dar Es Salaam
MWANAISHA Zuberi Mndeme,ACT-Wazalendo,1952,Kigamboni,Dar Es Salaam
SEKELA Godfrey Kayuni,ADC,468,Kigamboni,Dar Es Salaam
NDUGULILE Faustine Engelbert,CCM,34540,Kigamboni,Dar Es Salaam
MAGERELI Lucy Simon,CHADEMA,11306,Kigamboni,Dar Es Salaam
SALAMA Omar Masoud,CUF,544,Kigamboni,Dar Es Salaam
HAMISI Athumani Urembo,DP,67,Kigamboni,Dar Es Salaam
ZUMBA Edward Kapele,UDP,106,Kigamboni,Dar Es Salaam
HALIMA Abdallah Magambo,AAFP,243,Kinondoni,Dar Es Salaam
KUBENEA Saed Ahmed,ACT-Wazalendo,5948,Kinondoni,Dar Es Salaam
DIANAROSE Joseph Mhoja,ADA-TADEA,122,Kinondoni,Dar Es Salaam
SALUM Omary Changarawe,ADC,61,Kinondoni,Dar Es Salaam
DANIEL Jackson Bulenge,CCK,1561,Kinondoni,Dar Es Salaam
TARIMBA Gulam Abbas,CCM,112014,Kinondoni,Dar Es Salaam
SUSAN Anselm Lyimo,CHADEMA,11260,Kinondoni,Dar Es Salaam
IMAMU Abdillahi Juma,CHAUMMA,215,Kinondoni,Dar Es Salaam
RAJAB Salim Juma,CUF,2000,Kinondoni,Dar Es Salaam
TATU Shehe Idd,DEMOKRASIA MAKINI,32,Kinondoni,Dar Es Salaam
ATHUMANI Mussa Kitemo,DP,31,Kinondoni,Dar Es Salaam
WINFRIDA George Balama,N.R. A,32,Kinondoni,Dar Es Salaam
MURO Mustafa Abdul,NCCR-Mageuzi,411,Kinondoni,Dar Es Salaam
HALIMA Rajabu Mshana,SAU,32,Kinondoni,Dar Es Salaam
FRED Nashon Matari,TLP,31,Kinondoni,Dar Es Salaam
HAPPYNESS Saimon Yusuph,UDP,17,Kinondoni,Dar Es Salaam
HANIFA Sembe Mohamed,UMD,17,Kinondoni,Dar Es Salaam
CHRISTOPHER Ponziano Kadinde,UPDP,36,Kinondoni,Dar Es Salaam
NDONGE Said Ndonge,AAFP,837,Mbagala,Dar Es Salaam
BUNGO Kondo Juma,ACT-Wazalendo,3856,Mbagala,Dar Es Salaam
NASSORO Miraji Salehe,ADA-TADEA,424,Mbagala,Dar Es Salaam
ASHA Sultani Milongea,ADC,1030,Mbagala,Dar Es Salaam
CHAUREMBO Abdallah Jafari,CCM,280003,Mbagala,Dar Es Salaam
KHADIJA Said Mwago,CHADEMA,13985,Mbagala,Dar Es Salaam
MWAKYEMBE Paul Andrew,CHAUMMA,406,Mbagala,Dar Es Salaam
KAMBAYA Abdul Juma,CUF,1536,Mbagala,Dar Es Salaam
SALMA Hamisi Simbila,DEMOKRASIA MAKINI,1602,Mbagala,Dar Es Salaam
REHEMA Kilai Mayuya,DP,1556,Mbagala,Dar Es Salaam
ARABI Rashidi Sadalah,N.R. A,1627,Mbagala,Dar Es Salaam
NKUMBI Juma Shaaban,NCCR-Mageuzi,1686,Mbagala,Dar Es Salaam
DENIS Emmanuel Mafikiri,SAU,1700,Mbagala,Dar Es Salaam
MAGRETH Mathongo Mwita,UDP,1678,Mbagala,Dar Es Salaam
MKECHU Sembe Mohamed,UMD,1563,Mbagala,Dar Es Salaam
ZAWADI Mohamed Mustafa,AAFP,611,Segerea,Dar Es Salaam
MAHARAGANDE Mbarala Abdallah,ACT-Wazalendo,4454,Segerea,Dar Es Salaam
NURU Athumani Mwangila,ADA-TADEA,220,Segerea,Dar Es Salaam
ZAITUNI Said Athumani,ADC,138,Segerea,Dar Es Salaam
HERISTUS Elias Ndali,CCK,396,Segerea,Dar Es Salaam
BONNAH Ladislaus Kamoli,CCM,76828,Segerea,Dar Es Salaam
MREMA John Edward,CHADEMA,27612,Segerea,Dar Es Salaam
DICKSON Alex Msansi,CHAUMMA,414,Segerea,Dar Es Salaam
SABREENA Hamza Sungura,CUF,3649,Segerea,Dar Es Salaam
JUMA Haruna Kamba,DEMOKRASIA MAKINI,143,Segerea,Dar Es Salaam
BERTHA Nkango Mpata,SAU,37,Segerea,Dar Es Salaam
MAXMILLIAN Balthazar Lupapa,UDP,51,Segerea,Dar Es Salaam
MWASHAMBA Hemedi Abdallah,UMD,38,Segerea,Dar Es Salaam
RUKIA Issa Mwene,UPDP,104,Segerea,Dar Es Salaam
ZAINABU Saidi Kilindo,AAFP,2112,Temeke,Dar Es Salaam
YAHAYA Omary Mpanda,ACT-Wazalendo,13263,Temeke,Dar Es Salaam
AMISA Khamiss Kimwaga,ADA-TADEA,2395,Temeke,Dar Es Salaam
FARIDA Rabii Kongoi,ADC,2496,Temeke,Dar Es Salaam
INNOSENT Fratern Shirima,CCK,3363,Temeke,Dar Es Salaam
KILAVE Dorothy George,CCM,192756,Temeke,Dar Es Salaam
SINA Said Manzi,CHADEMA,28260,Temeke,Dar Es Salaam
ZAINABU Mndolwa Amiri,CUF,4410,Temeke,Dar Es Salaam
SHABANI Masiku Chumu,DEMOKRASIA MAKINI,1971,Temeke,Dar Es Salaam
MWANAENZI Kibwana Mbwaduke,N.R. A,1950,Temeke,Dar Es Salaam
JOHN Isaba Muyingo,UDP,2006,Temeke,Dar Es Salaam
ATHUMANI Ramadhani Athumani,UPDP,1934,Temeke,Dar Es Salaam
PAMBA Renatus Mkonga,ACT-Wazalendo,2188,Ubungo,Dar Es Salaam
MANGEREZA Rajabu Mkongi,ADA-TADEA,90,Ubungo,Dar Es Salaam
ZUWENA Mohamed Abdallah,ADC,334,Ubungo,Dar Es Salaam
MWAKISOLE Emmy Hudson,CCK,146,Ubungo,Dar Es Salaam
MKUMBO Kitila Alexander,CCM,63221,Ubungo,Dar Es Salaam
BONIFACE Boniface Jacob,CHADEMA,20620,Ubungo,Dar Es Salaam
KABENDERA Eugene,CHAUMMA,317,Ubungo,Dar Es Salaam
MASHAKA Khalfani Ngole,CUF,1090,Ubungo,Dar Es Salaam
COASTER Jimmy Kibonde,DEMOKRASIA MAKINI,53,Ubungo,Dar Es Salaam
MWELESI Ramadhani Salehe,N.R. A,33,Ubungo,Dar Es Salaam
JOHARI Jamal Mlaghanile,NCCR-Mageuzi,35,Ubungo,Dar Es Salaam
MWAKASAKA Boaz Donard,SAU,35,Ubungo,Dar Es Salaam
SHAKILA Maulid Kambuga,TLP,30,Ubungo,Dar Es Salaam
KIDAGUYU Masahi Mshelela,UDP,28,Ubungo,Dar Es Salaam
MWAJUMA Noty Mirambo,UMD,54,Ubungo,Dar Es Salaam
REHEMA Nassoro Ligawandu,AAFP,591,Ukonga,Dar Es Salaam
WAKAZI Webiro Wassira,ACT-Wazalendo,2087,Ukonga,Dar Es Salaam
ZAITUN Nurdin Hokororo,ADA-TADEA,131,Ukonga,Dar Es Salaam
CARREN Gerald Mkumbo,ADC,89,Ukonga,Dar Es Salaam
SIGNORITHAR Onesphor Nchimbi,CCK,109,Ukonga,Dar Es Salaam
JERRY William Silaa,CCM,120936,Ukonga,Dar Es Salaam
ASIA Daudi Msangi,CHADEMA,21634,Ukonga,Dar Es Salaam
ATHUMANI Mohamedi Mfaume,CHAUMMA,186,Ukonga,Dar Es Salaam
FATUMA Shabani Pangalugome,CUF,937,Ukonga,Dar Es Salaam
RAMADHANI Said Kijiwe,DEMOKRASIA MAKINI,51,Ukonga,Dar Es Salaam
SILVESTER Aseno Obunde,DP,41,Ukonga,Dar Es Salaam
MURSHID Khalid Kabiriga,N.R. A,36,Ukonga,Dar Es Salaam
JOSEPH Honesti Kyara,SAU,34,Ukonga,Dar Es Salaam
DAMIAN Raphael Suluta,TLP,36,Ukonga,Dar Es Salaam
REHEMA Caswelly Mahinya,UDP,79,Ukonga,Dar Es Salaam
KENNETH Ernest Nollo,CCM,40629,Bahi,Dodoma
GODFREY Job Kamwe,CUF,2054,Bahi,Dodoma
NDEJEMBI Deogratius John,CCM,67092,Chamwino,Dodoma
DIANA Daudi Simba,CUF,990,Chamwino,Dodoma
JOHNSON Mahuma Gagu,ACT-Wazalendo,1230,Chemba,Dodoma
MOHAMED Lujuo Monni,CCM,35168,Chemba,Dodoma
KUNTI Yusuph Majala,CHADEMA,21907,Chemba,Dodoma
AZIZI Msafiri Abasi,CHAUMMA,270,Chemba,Dodoma
TANZILU Hatibu Isema,CUF,373,Chemba,Dodoma
MNJEJA Ayubu Mnjeja,NCCR-Mageuzi,322,Chemba,Dodoma
MAVUNDE Anthony Peter,CCM,86656,Dodoma Mjini,Dodoma
MADOGA Aisha Saleh Maulid,CHADEMA,13589,Dodoma Mjini,Dodoma
SIMBACHAWENE George Boniface,CCM,37626,Kibakwe,Dodoma
MZINGA Msafiri William,CHADEMA,3072,Kibakwe,Dodoma
NJUKI Said Salim,ACT-Wazalendo,1033,Kondoa,Dodoma
Dkt. ASHATU Kachwamba Kijaji,CCM,38131,Kondoa,Dodoma
MONICA Joseph Safari,CHADEMA,5688,Kondoa,Dodoma
KHADIJA Issa Selemani,CUF,4738,Kondoa,Dodoma
MAKOA Ally Juma,CCM,15220,Kondoa Mjini,Dodoma
IDDI Salehe Kizota,CHADEMA,1862,Kondoa Mjini,Dodoma
MALIMA George Natany,CCM,29623,Mpwapwa,Dodoma
CHISINJILA Ezekiel Elia,CHADEMA,5949,Mpwapwa,Dodoma
LIVINGSTONE Joseph Lusinde,CCM,41371,Mvumi,Dodoma
HADIJA Christian Maula,CHADEMA,5665,Mvumi,Dodoma
DAUDI Amos Msanjila,CUF,302,Mvumi,Dodoma
EDWARD Deogratias Kabika,ACT-Wazalendo,492,Bukombe,Geita
ANTHONY Kabika Vigelo,CCK,443,Bukombe,Geita
DOTO Mashaka Biteko,CCM,71640,Bukombe,Geita
NZEMO Renatus Pesa,CHADEMA,11433,Bukombe,Geita
MIHALALO Salim Mihalalo,TLP,244,Bukombe,Geita
TUMAINI Mathias Kinasa,ACT-Wazalendo,1785,Busanda,Geita
TUMAINI Bryceson Magessa,CCM,50412,Busanda,Geita
MASANJA Mihalalo Kapalatu,CHADEMA,11635,Busanda,Geita
Dkt. KALEMANI Medard Matogolo,CCM,135999,Chato,Geita
Mwl. MASAI Lucas Michael Mtabi,CHADEMA,7473,Chato,Geita
MUSUKUMA Joseph Kasheku,CCM,31510,Geita,Geita
CHOZAILE Steven Neema,CHADEMA,3901,Geita,Geita
PASCHAL Lweyega Masulubu,CUF,1179,Geita,Geita
RASTA-IKOLONGO Emanuel Otto,ACT-Wazalendo,260,Geita Mjini,Geita
SLYVESTER Francis Mahenge,CCK,245,Geita Mjini,Geita
CONSTANTINE John Kanyasu,CCM,30277,Geita Mjini,Geita
UPENDO Furaha Peneza,CHADEMA,17272,Geita Mjini,Geita
MALEBO Michael Peter,CUF,101,Geita Mjini,Geita
DAMASI Wilbert Maganga,NCCR-Mageuzi,50,Geita Mjini,Geita
NICODEMAS Henry Maganga,CCM,33339,Mbogwe,Geita
GODY Bagamba Bagamba,CHADEMA,6196,Mbogwe,Geita
BUKA James Siyantemi,CUF,366,Mbogwe,Geita
HUSSEIN Nassor Amar,CCM,29822,Nyang'Hwale,Geita
FIKIRI Gabriel Evarist,CHADEMA,6886,Nyang'Hwale,Geita
KITULA Andrea Michael,CUF,222,Nyang'Hwale,Geita
RAI Yusuph Rashidi,AAFP,194,Iringa Mjini,Iringa
NDAMBO Anderson Emanuel,ACT-Wazalendo,73,Iringa Mjini,Iringa
MASASI Daudi Issa,ADC,142,Iringa Mjini,Iringa
JESCA Jonathani Msambatavangu,CCM,36034,Iringa Mjini,Iringa
MSIGWA Peter Simon,CHADEMA,19331,Iringa Mjini,Iringa
ANDREW Victor Mitule,CHAUMMA,76,Iringa Mjini,Iringa
REHEMA Musa Chewa,CUF,100,Iringa Mjini,Iringa
SAIDI Idd Mdendemi,DEMOKRASIA MAKINI,46,Iringa Mjini,Iringa
KISININI Robert Alexander,NCCR-Mageuzi,38,Iringa Mjini,Iringa
HAPPYNESS Manase Kipokola,TLP,37,Iringa Mjini,Iringa
ROBERT Shila Haonga,ACT-Wazalendo,322,Ismani,Iringa
LUKUVI William Vangimembe,CCM,24934,Ismani,Iringa
SOSOPI Patrick Kapurwa,CHADEMA,10399,Ismani,Iringa
NASIMU Yahaya Upete,CUF,115,Ismani,Iringa
KISWAGA Jackson Gedion,CCM,43482,Kalenga,Iringa
TENDEGA Grace Victor,CHADEMA,7081,Kalenga,Iringa
NYAMOGA Lazaro Justin,CCM,64638,Kilolo,Iringa
JULLY Petro Mpugula,CHADEMA,8914,Kilolo,Iringa
KIGAHE Exaud Silaoneka,CCM,25408,Mufindi Kaskazini,Iringa
MASONDA Kigobela Jumanne,CHADEMA,2863,Mufindi Kaskazini,Iringa
KIHENZILE David Mwakiposa,CCM,59793,Mufindi Kusini,Iringa
KITALIKA Emmanuel Titho,CHADEMA,1716,Mufindi Kusini,Iringa
EZRA John Chiwelesa,CCM,40526,Biharamulo Magharibi,Kagera
MBELWA Petro Zimbiha,CHADEMA,16274,Biharamulo Magharibi,Kagera
JUMA Khamis Ibrahim,ACT-Wazalendo,267,Bukoba Mjini,Kagera
BYABATO Stephen Lujwahuka,CCM,29208,Bukoba Mjini,Kagera
CHIEF Adronicus Karumuna,CHADEMA,17348,Bukoba Mjini,Kagera
RABIA Badru Ayoub,CUF,186,Bukoba Mjini,Kagera
EVODIUS Tirugiranganzi Yohana,NCCR-Mageuzi,38,Bukoba Mjini,Kagera
FRIDORINE Ndigirwa Gosbert,NLD,35,Bukoba Mjini,Kagera
TASLIMA Twaha Issa,ACT-Wazalendo,1302,Bukoba Vijijini,Kagera
Dkt. RWEIKIZA Jasson Samson,CCM,44509,Bukoba Vijijini,Kagera
CONCHESTA Leonce Rwamlaza,CHADEMA,30880,Bukoba Vijijini,Kagera
HAMDUNY Marcel Muzaula,CUF,376,Bukoba Vijijini,Kagera
INNOCENT Lugha Bashungwa,CCM,68371,Karagwe,Kagera
ADOLF Peleus Mukono,CHADEMA,15773,Karagwe,Kagera
NTAREYEIGURU Juvenary Frederick,ACT-Wazalendo,947,Kyerwa,Kagera
BILAKWATE Innocent Sebba,CCM,61848,Kyerwa,Kagera
ANATROPIA Lwehikila Theonest,CHADEMA,45893,Kyerwa,Kagera
ALEX Francis Rugala,CHAUMMA,379,Kyerwa,Kagera
CHARLES John Mwijage,CCM,34957,Muleba Kaskazini,Kagera
DUNSTAN Nicolaus Mutagahywa,CHADEMA,13411,Muleba Kaskazini,Kagera
Dkt. OSCAR Ishengoma Kikoyo,CCM,68356,Muleba Kusini,Kagera
MECHARD Rwizile Tiba,CHADEMA,20649,Muleba Kusini,Kagera
NKUNGU Henerico Erasto,NCCR-Mageuzi,1005,Muleba Kusini,Kagera
NDAISABA George Ruhoro,CCM,78776,Ngara,Kagera
DEDAN Joachim Rajab,CHADEMA,7913,Ngara,Kagera
ANORD Efta Bagaya,NCCR-Mageuzi,713,Ngara,Kagera
LAULIAN Leonard Kabakama,ACT-Wazalendo,621,Nkenge,Kagera
KYOMBO Florent Laurent,CCM,58051,Nkenge,Kagera
MAGRETH Domitian Kyai,CHADEMA,4803,Nkenge,Kagera
BAKEKELA Leonard Leopord,CUF,179,Nkenge,Kagera
KWEYAMBA William Ishengoma,TLP,87,Nkenge,Kagera
OTHMAN Omar Haji,ACT-Wazalendo,2047,Gando,Kaskazini Pemba
RAMADHANI Abdalla Ramadhani,ADA-TADEA,38,Gando,Kaskazini Pemba
KHEIR Ali Khamis,ADC,42,Gando,Kaskazini Pemba
SALIM Mussa Omar,CCM,3390,Gando,Kaskazini Pemba
HAFIDH Ali Saleh,CHADEMA,421,Gando,Kaskazini Pemba
SAID Khalifa Suleiman,CUF,120,Gando,Kaskazini Pemba
OMAR Said Rashid,DEMOKRASIA MAKINI,40,Gando,Kaskazini Pemba
KOMBO Rashid Ali,ACT-Wazalendo,2360,Kojani,Kaskazini Pemba
ZULFA Asaa Ali,ADA-TADEA,65,Kojani,Kaskazini Pemba
HAMAD Hassan Chande,CCM,3363,Kojani,Kaskazini Pemba
FAKI Suleiman Khatib,CHADEMA,854,Kojani,Kaskazini Pemba
MASOUD Hamad Salim,CUF,210,Kojani,Kaskazini Pemba
MOHAMMED Likindi Hamad,DEMOKRASIA MAKINI,84,Kojani,Kaskazini Pemba
KHALID Makame Issa,N.R. A,175,Kojani,Kaskazini Pemba
KHATIB Said Haji,ACT-Wazalendo,1552,Konde,Kaskazini Pemba
MASOUD Othman Bakar,ADA-TADEA,18,Konde,Kaskazini Pemba
BAKAR Makame Khamis,ADC,38,Konde,Kaskazini Pemba
SHEHA Mpemba Faki,CCM,1245,Konde,Kaskazini Pemba
MOHAMMED Suleiman Said,CHADEMA,781,Konde,Kaskazini Pemba
OMAR Hamad Khamis,CUF,92,Konde,Kaskazini Pemba
ABRAHMAN Mbarouk Juma,DEMOKRASIA MAKINI,26,Konde,Kaskazini Pemba
